mercado_id,NomTipoMercado,DscModalidadeTarifaria,DscSubGrupoTarifario,DscClasseConsumoMercado,DscSubClasseConsumidor,DscDetalheConsumidor,DscPostoTarifario,DscOpcaoEnergia,DscDetalheMercado
1,RTE,Convencional,B1,Residencial,Residencial,Não se aplica,Não se aplica,CATIVO,Receita Energia (R$)
2,Refaturamento - Regular,Azul,A4,Serviço público,"Água, esgoto e saneamento",Não se aplica,Fora ponta,CATIVO,Demanda Faturada (kW)
3,Refaturamento - Regular,Azul,A3,Industrial,Não se aplica,Não se aplica,Fora ponta,LIVRE,Demanda Faturada (kW)
4,Refaturamento - Regular,Azul,A3a,Comercial,Não se aplica,Não se aplica,Fora ponta,CATIVO,Demanda Faturada (kW)
5,Refaturamento - Regular,Azul,A2,Serviço público,Tração elétrica,Não se aplica,Fora ponta,CATIVO,Demanda Faturada (kW)
6,Refaturamento - Regular,Azul,A4,Poder público,Não se aplica,Não se aplica,Fora ponta,CATIVO,Demanda Faturada (kW)
7,Refaturamento - Regular,Azul,A4,Comercial,Não se aplica,Não se aplica,Fora ponta,CATIVO,Demanda Faturada (kW)
8,Refaturamento - Regular,Azul,A2,Poder público,Não se aplica,Não se aplica,Fora ponta,CATIVO,Demanda Faturada (kW)
9,Refaturamento - Regular,Azul,A2,Industrial,Não se aplica,Não se aplica,Fora ponta,CATIVO,Demanda Faturada (kW)
10,Refaturamento - Regular,Azul,A4,Industrial,Não se aplica,Não se aplica,Fora ponta,LIVRE,Demanda Faturada (kW)
11,Refaturamento - Regular,Azul,A2,Industrial,Não se aplica,Não se aplica,Fora ponta,LIVRE,Demanda Faturada (kW)
12,Refaturamento - Regular,Azul,A4,Industrial,Não se aplica,Fonte incentivada,Fora ponta,LIVRE,Demanda Faturada (kW)
13,Refaturamento - Regular,Azul,A3,Industrial,Não se aplica,Fonte incentivada,Fora ponta,LIVRE,Demanda Faturada (kW)
14,Refaturamento - Regular,Azul,AS,Comercial,Não se aplica,Não se aplica,Fora ponta,CATIVO,Demanda Faturada (kW)
15,Refaturamento - Regular,Azul,A2,Comercial,Não se aplica,Não se aplica,Fora ponta,CATIVO,Demanda Faturada (kW)
16,Refaturamento - Regular,Azul,A3,Serviço público,Tração elétrica,Não se aplica,Fora ponta,CATIVO,Demanda Faturada (kW)
17,Refaturamento - Regular,Azul,A3,Rural,Agropecuária rural,Não se aplica,Fora ponta,CATIVO,Demanda Faturada (kW)
18,Refaturamento - Regular,Azul,A4,Industrial,Não se aplica,Não se aplica,Fora ponta,CATIVO,Demanda Faturada (kW)
19,Refaturamento - Regular,Azul,A3,Serviço público,"Água, esgoto e saneamento",Não se aplica,Fora ponta,LIVRE,Demanda Faturada (kW)
20,Refaturamento - Regular,Azul,A3,Industrial,Não se aplica,Não se aplica,Fora ponta,CATIVO,Demanda Faturada (kW)
21,Refaturamento - Regular,Azul,AS,Poder público,Não se aplica,Não se aplica,Fora ponta,CATIVO,Demanda Faturada (kW)
22,Refaturamento - Regular,Azul,A4,Rural,Agropecuária rural,Não se aplica,Fora ponta,CATIVO,Demanda Faturada (kW)
23,Refaturamento - Regular,Azul,A3a,Industrial,Não se aplica,Fonte incentivada,Fora ponta,LIVRE,Demanda Faturada (kW)
24,Refaturamento - Regular,Azul,A4,Rural,Aquicultura,Não se aplica,Fora ponta,CATIVO,Demanda Faturada (kW)
25,Refaturamento - Regular,Azul,A4,Rural,Não se aplica,Não se aplica,Fora ponta,CATIVO,Demanda Faturada (kW)
26,Refaturamento - Regular,Azul,A3,Comercial,Não se aplica,Não se aplica,Fora ponta,CATIVO,Demanda Faturada (kW)
27,Refaturamento - Regular,Azul,A3a,Serviço público,"Água, esgoto e saneamento",Não se aplica,Fora ponta,CATIVO,Demanda Faturada (kW)
28,Refaturamento - Regular,Azul,A3a,Industrial,Não se aplica,Não se aplica,Fora ponta,CATIVO,Demanda Faturada (kW)
29,Refaturamento - Regular,Azul,A2,Serviço público,Tração elétrica,Não se aplica,Fora ponta,LIVRE,Demanda Faturada (kW)
30,Refaturamento - Regular,Azul,A3a,Rural,Não se aplica,Não se aplica,Fora ponta,CATIVO,Demanda Faturada (kW)
31,Refaturamento - Regular,Azul,A3,Comercial,Não se aplica,Não se aplica,Fora ponta,LIVRE,Demanda Faturada (kW)
32,Refaturamento - Regular,Azul,A2,Industrial,Não se aplica,Fonte incentivada,Fora ponta,LIVRE,Demanda Faturada (kW)
33,Refaturamento - Regular,Azul,A3a,Industrial,Não se aplica,Não se aplica,Fora ponta,LIVRE,Demanda Faturada (kW)
34,Refaturamento - Regular,Azul,A3,Serviço público,"Água, esgoto e saneamento",Não se aplica,Fora ponta,CATIVO,Demanda Faturada (kW)
35,Refaturamento - Regular,Azul,A2,Serviço público,"Água, esgoto e saneamento",Não se aplica,Fora ponta,CATIVO,Demanda Faturada (kW)
36,Refaturamento - Regular,Azul,A4,Comercial,Não se aplica,Não se aplica,Fora ponta,LIVRE,Demanda Faturada (kW)
37,Refaturamento - Regular,Azul,A4,Residencial,Residencial,Não se aplica,Fora ponta,CATIVO,Demanda Faturada (kW)
38,Refaturamento - Regular,Azul,A2,Comercial,Não se aplica,Não se aplica,Fora ponta,LIVRE,Demanda Faturada (kW)
39,Refaturamento - Regular,Azul,A4,Industrial,Não se aplica,APE,Fora ponta,LIVRE,Demanda Faturada (kW)
40,Refaturamento - Regular,Azul,AS,Industrial,Não se aplica,Fonte incentivada,Fora ponta,LIVRE,Demanda Faturada (kW)
41,Refaturamento - Regular,Azul,A3,Poder público,Não se aplica,Não se aplica,Fora ponta,CATIVO,Demanda Faturada (kW)
42,Refaturamento - Regular,Azul,A2,Não se aplica,Não se aplica,ERC,Fora ponta,LIVRE,Demanda Faturada (kW)
43,Refaturamento - Regular,Azul,A3,Poder público,Não se aplica,Não se aplica,Fora ponta,LIVRE,Demanda Faturada (kW)
44,Refaturamento - Regular,Azul,A3,Rural,Aquicultura,Não se aplica,Fora ponta,CATIVO,Demanda Faturada (kW)
45,Refaturamento - Regular,Azul,A4,Rural,Cooperativa de eletrificação rural,Não se aplica,Fora ponta,CATIVO,Demanda Faturada (kW)
46,Refaturamento - Regular,Azul,A1,Não se aplica,Não se aplica,Não se aplica,Fora ponta,LIVRE,Demanda Faturada (kW)
47,Refaturamento - Regular,Azul,A4,Serviço público,"Água, esgoto e saneamento",Não se aplica,Fora ponta,LIVRE,Demanda Faturada (kW)
48,Refaturamento - Regular,Azul,A3a,Comercial,Não se aplica,Não se aplica,Fora ponta,LIVRE,Demanda Faturada (kW)
49,Refaturamento - Regular,Azul,A2,Serviço público,"Água, esgoto e saneamento",Não se aplica,Fora ponta,LIVRE,Demanda Faturada (kW)
50,Refaturamento - Regular,Azul,A2,Rural,Agropecuária rural,Não se aplica,Fora ponta,CATIVO,Demanda Faturada (kW)
51,Refaturamento - Regular,Azul,A4,Industrial,Não se aplica,Fonte incentivada,Fora ponta,LIVRE,Desconto Demanda %
52,Refaturamento - Regular,Azul,A4,Rural,Aquicultura,Não se aplica,Fora ponta,CATIVO,Desconto Demanda %
53,Refaturamento - Regular,Azul,A3,Serviço público,"Água, esgoto e saneamento",Não se aplica,Fora ponta,CATIVO,Desconto Demanda %
54,Refaturamento - Regular,Azul,A3,Industrial,Não se aplica,Fonte incentivada,Fora ponta,LIVRE,Desconto Demanda %
55,Refaturamento - Regular,Azul,A2,Industrial,Não se aplica,Fonte incentivada,Fora ponta,LIVRE,Desconto Demanda %
56,Refaturamento - Regular,Azul,A3a,Industrial,Não se aplica,Fonte incentivada,Fora ponta,LIVRE,Desconto Demanda %
57,Refaturamento - Regular,Azul,A3,Serviço público,"Água, esgoto e saneamento",Não se aplica,Fora ponta,LIVRE,Desconto Demanda %
58,Refaturamento - Regular,Azul,A4,Rural,Não se aplica,Não se aplica,Fora ponta,CATIVO,Desconto Demanda %
59,Refaturamento - Regular,Azul,A3,Rural,Agropecuária rural,Não se aplica,Fora ponta,CATIVO,Desconto Demanda %
60,Refaturamento - Regular,Azul,A4,Serviço público,"Água, esgoto e saneamento",Não se aplica,Fora ponta,CATIVO,Desconto Demanda %
61,Refaturamento - Regular,Azul,AS,Industrial,Não se aplica,Fonte incentivada,Fora ponta,LIVRE,Desconto Demanda %
62,Refaturamento - Regular,Azul,A4,Rural,Não se aplica,Não se aplica,Fora ponta,CATIVO,Desconto Energia TE %
63,Refaturamento - Regular,Azul,A4,Rural,Aquicultura,Não se aplica,Fora ponta,CATIVO,Desconto Energia TE %
64,Refaturamento - Regular,Azul,A3,Serviço público,"Água, esgoto e saneamento",Não se aplica,Fora ponta,CATIVO,Desconto Energia TE %
65,Refaturamento - Regular,Azul,A3,Rural,Agropecuária rural,IRRIG./AQUIC. PR,Fora ponta,CATIVO,Desconto Energia TE %
66,Refaturamento - Regular,Azul,A3,Rural,Agropecuária rural,Não se aplica,Fora ponta,CATIVO,Desconto Energia TE %
67,Refaturamento - Regular,Azul,A4,Serviço público,"Água, esgoto e saneamento",Não se aplica,Fora ponta,CATIVO,Desconto Energia TE %
68,Refaturamento - Regular,Azul,A3,Rural,Aquicultura,IRRIG./AQUIC. PR,Fora ponta,CATIVO,Desconto Energia TE %
69,Refaturamento - Regular,Azul,A4,Rural,Agropecuária rural,IRRIG./AQUIC. PR,Fora ponta,CATIVO,Desconto Energia TE %
70,Refaturamento - Regular,Azul,A4,Rural,Aquicultura,IRRIG./AQUIC. PR,Fora ponta,CATIVO,Desconto Energia TE %
71,Refaturamento - Regular,Azul,A2,Rural,Agropecuária rural,IRRIG./AQUIC. PR,Fora ponta,CATIVO,Desconto Energia TE %
72,Refaturamento - Regular,Azul,A3,Rural,Aquicultura,IRRIG./AQUIC. PR,Fora ponta,CATIVO,Desconto Energia TUSD %
73,Refaturamento - Regular,Azul,A4,Rural,Não se aplica,Não se aplica,Fora ponta,CATIVO,Desconto Energia TUSD %
74,Refaturamento - Regular,Azul,A3,Serviço público,"Água, esgoto e saneamento",Não se aplica,Fora ponta,CATIVO,Desconto Energia TUSD %
75,Refaturamento - Regular,Azul,A4,Rural,Aquicultura,Não se aplica,Fora ponta,CATIVO,Desconto Energia TUSD %
76,Refaturamento - Regular,Azul,A4,Serviço público,"Água, esgoto e saneamento",Não se aplica,Fora ponta,CATIVO,Desconto Energia TUSD %
77,Refaturamento - Regular,Azul,A3,Rural,Agropecuária rural,IRRIG./AQUIC. PR,Fora ponta,CATIVO,Desconto Energia TUSD %
78,Refaturamento - Regular,Azul,A3,Rural,Agropecuária rural,Não se aplica,Fora ponta,CATIVO,Desconto Energia TUSD %
79,Refaturamento - Regular,Azul,A4,Rural,Agropecuária rural,IRRIG./AQUIC. PR,Fora ponta,CATIVO,Desconto Energia TUSD %
80,Refaturamento - Regular,Azul,A4,Rural,Aquicultura,IRRIG./AQUIC. PR,Fora ponta,CATIVO,Desconto Energia TUSD %
81,Refaturamento - Regular,Azul,A2,Rural,Agropecuária rural,IRRIG./AQUIC. PR,Fora ponta,CATIVO,Desconto Energia TUSD %
82,Refaturamento - Regular,Azul,A4,Serviço público,"Água, esgoto e saneamento",Não se aplica,Fora ponta,CATIVO,Energia TE (kWh)
83,Refaturamento - Regular,Azul,A4,Poder público,Não se aplica,Não se aplica,Fora ponta,CATIVO,Energia TE (kWh)
84,Refaturamento - Regular,Azul,A4,Comercial,Não se aplica,Não se aplica,Fora ponta,CATIVO,Energia TE (kWh)
85,Refaturamento - Regular,Azul,AS,Comercial,Não se aplica,Não se aplica,Fora ponta,CATIVO,Energia TE (kWh)
86,Refaturamento - Regular,Azul,A4,Industrial,Não se aplica,Não se aplica,Fora ponta,CATIVO,Energia TE (kWh)
87,Refaturamento - Regular,Azul,A3,Industrial,Não se aplica,Não se aplica,Fora ponta,CATIVO,Energia TE (kWh)
88,Refaturamento - Regular,Azul,A2,Comercial,Não se aplica,Não se aplica,Fora ponta,CATIVO,Energia TE (kWh)
89,Refaturamento - Regular,Azul,A3a,Comercial,Não se aplica,Não se aplica,Fora ponta,CATIVO,Energia TE (kWh)
90,Refaturamento - Regular,Azul,AS,Poder público,Não se aplica,Não se aplica,Fora ponta,CATIVO,Energia TE (kWh)
91,Refaturamento - Regular,Azul,A3,Rural,Agropecuária rural,Não se aplica,Fora ponta,CATIVO,Energia TE (kWh)
92,Refaturamento - Regular,Azul,A3,Rural,Agropecuária rural,IRRIG./AQUIC. PR,Fora ponta,CATIVO,Energia TE (kWh)
93,Refaturamento - Regular,Azul,A2,Poder público,Não se aplica,Não se aplica,Fora ponta,CATIVO,Energia TE (kWh)
94,Refaturamento - Regular,Azul,A2,Industrial,Não se aplica,Não se aplica,Fora ponta,CATIVO,Energia TE (kWh)
95,Refaturamento - Regular,Azul,A3,Serviço público,Tração elétrica,Não se aplica,Fora ponta,CATIVO,Energia TE (kWh)
96,Refaturamento - Regular,Azul,A4,Rural,Agropecuária rural,Não se aplica,Fora ponta,CATIVO,Energia TE (kWh)
97,Refaturamento - Regular,Azul,A4,Rural,Não se aplica,Não se aplica,Fora ponta,CATIVO,Energia TE (kWh)
98,Refaturamento - Regular,Azul,A4,Rural,Aquicultura,Não se aplica,Fora ponta,CATIVO,Energia TE (kWh)
99,Refaturamento - Regular,Azul,A4,Rural,Agropecuária rural,IRRIG./AQUIC. PR,Fora ponta,CATIVO,Energia TE (kWh)
100,Refaturamento - Regular,Azul,A3a,Industrial,Não se aplica,Não se aplica,Fora ponta,CATIVO,Energia TE (kWh)
101,Refaturamento - Regular,Azul,A3a,Rural,Não se aplica,Não se aplica,Fora ponta,CATIVO,Energia TE (kWh)
102,Refaturamento - Regular,Azul,A2,Serviço público,Tração elétrica,Não se aplica,Fora ponta,CATIVO,Energia TE (kWh)
103,Refaturamento - Regular,Azul,A3,Serviço público,"Água, esgoto e saneamento",Não se aplica,Fora ponta,CATIVO,Energia TE (kWh)
104,Refaturamento - Regular,Azul,A3a,Serviço público,"Água, esgoto e saneamento",Não se aplica,Fora ponta,CATIVO,Energia TE (kWh)
105,Refaturamento - Regular,Azul,A3a,Rural,Agropecuária rural,Não se aplica,Fora ponta,CATIVO,Energia TE (kWh)
106,Refaturamento - Regular,Azul,A3a,Rural,Agropecuária rural,IRRIG./AQUIC. PR,Fora ponta,CATIVO,Energia TE (kWh)
107,Refaturamento - Regular,Azul,A4,Residencial,Residencial,Não se aplica,Fora ponta,CATIVO,Energia TE (kWh)
108,Refaturamento - Regular,Azul,A2,Serviço público,"Água, esgoto e saneamento",Não se aplica,Fora ponta,CATIVO,Energia TE (kWh)
109,Refaturamento - Regular,Azul,A3,Comercial,Não se aplica,Não se aplica,Fora ponta,CATIVO,Energia TE (kWh)
110,Refaturamento - Regular,Azul,A3,Poder público,Não se aplica,Não se aplica,Fora ponta,CATIVO,Energia TE (kWh)
111,Refaturamento - Regular,Azul,A3,Rural,Aquicultura,Não se aplica,Fora ponta,CATIVO,Energia TE (kWh)
112,Refaturamento - Regular,Azul,A3,Rural,Aquicultura,IRRIG./AQUIC. PR,Fora ponta,CATIVO,Energia TE (kWh)
113,Refaturamento - Regular,Azul,A2,Rural,Agropecuária rural,Não se aplica,Fora ponta,CATIVO,Energia TE (kWh)
114,Refaturamento - Regular,Azul,A4,Rural,Cooperativa de eletrificação rural,Não se aplica,Fora ponta,CATIVO,Energia TE (kWh)
115,Refaturamento - Regular,Azul,A4,Rural,Aquicultura,IRRIG./AQUIC. PR,Fora ponta,CATIVO,Energia TE (kWh)
116,Refaturamento - Regular,Azul,A2,Rural,Agropecuária rural,IRRIG./AQUIC. PR,Fora ponta,CATIVO,Energia TE (kWh)
117,Refaturamento - Regular,Azul,A2,Comercial,Não se aplica,Não se aplica,Fora ponta,CATIVO,Energia TUSD (kWh)
118,Refaturamento - Regular,Azul,A4,Comercial,Não se aplica,Não se aplica,Fora ponta,CATIVO,Energia TUSD (kWh)
119,Refaturamento - Regular,Azul,A4,Industrial,Não se aplica,Não se aplica,Fora ponta,CATIVO,Energia TUSD (kWh)
120,Refaturamento - Regular,Azul,A4,Serviço público,"Água, esgoto e saneamento",Não se aplica,Fora ponta,CATIVO,Energia TUSD (kWh)
121,Refaturamento - Regular,Azul,A2,Industrial,Não se aplica,Não se aplica,Fora ponta,CATIVO,Energia TUSD (kWh)
122,Refaturamento - Regular,Azul,A3,Rural,Agropecuária rural,IRRIG./AQUIC. PR,Fora ponta,CATIVO,Energia TUSD (kWh)
123,Refaturamento - Regular,Azul,A3,Serviço público,"Água, esgoto e saneamento",Não se aplica,Fora ponta,CATIVO,Energia TUSD (kWh)
124,Refaturamento - Regular,Azul,A3a,Comercial,Não se aplica,Não se aplica,Fora ponta,CATIVO,Energia TUSD (kWh)
125,Refaturamento - Regular,Azul,A3,Industrial,Não se aplica,Não se aplica,Fora ponta,CATIVO,Energia TUSD (kWh)
126,Refaturamento - Regular,Azul,A4,Poder público,Não se aplica,Não se aplica,Fora ponta,CATIVO,Energia TUSD (kWh)
127,Refaturamento - Regular,Azul,A2,Poder público,Não se aplica,Não se aplica,Fora ponta,CATIVO,Energia TUSD (kWh)
128,Refaturamento - Regular,Azul,A3a,Serviço público,"Água, esgoto e saneamento",Não se aplica,Fora ponta,CATIVO,Energia TUSD (kWh)
129,Refaturamento - Regular,Azul,A3,Serviço público,Tração elétrica,Não se aplica,Fora ponta,CATIVO,Energia TUSD (kWh)
130,Refaturamento - Regular,Azul,AS,Comercial,Não se aplica,Não se aplica,Fora ponta,CATIVO,Energia TUSD (kWh)
131,Refaturamento - Regular,Azul,A4,Rural,Não se aplica,Não se aplica,Fora ponta,CATIVO,Energia TUSD (kWh)
132,Refaturamento - Regular,Azul,A4,Rural,Aquicultura,Não se aplica,Fora ponta,CATIVO,Energia TUSD (kWh)
133,Refaturamento - Regular,Azul,A3a,Rural,Não se aplica,Não se aplica,Fora ponta,CATIVO,Energia TUSD (kWh)
134,Refaturamento - Regular,Azul,AS,Poder público,Não se aplica,Não se aplica,Fora ponta,CATIVO,Energia TUSD (kWh)
135,Refaturamento - Regular,Azul,A4,Rural,Agropecuária rural,Não se aplica,Fora ponta,CATIVO,Energia TUSD (kWh)
136,Refaturamento - Regular,Azul,A4,Rural,Agropecuária rural,IRRIG./AQUIC. PR,Fora ponta,CATIVO,Energia TUSD (kWh)
137,Refaturamento - Regular,Azul,A3a,Industrial,Não se aplica,Não se aplica,Fora ponta,CATIVO,Energia TUSD (kWh)
138,Refaturamento - Regular,Azul,A3,Rural,Agropecuária rural,Não se aplica,Fora ponta,CATIVO,Energia TUSD (kWh)
139,Refaturamento - Regular,Azul,A2,Serviço público,Tração elétrica,Não se aplica,Fora ponta,CATIVO,Energia TUSD (kWh)
140,Refaturamento - Regular,Azul,A3a,Rural,Agropecuária rural,Não se aplica,Fora ponta,CATIVO,Energia TUSD (kWh)
141,Refaturamento - Regular,Azul,A3a,Rural,Agropecuária rural,IRRIG./AQUIC. PR,Fora ponta,CATIVO,Energia TUSD (kWh)
142,Refaturamento - Regular,Azul,A2,Serviço público,"Água, esgoto e saneamento",Não se aplica,Fora ponta,CATIVO,Energia TUSD (kWh)
143,Refaturamento - Regular,Azul,A4,Residencial,Residencial,Não se aplica,Fora ponta,CATIVO,Energia TUSD (kWh)
144,Refaturamento - Regular,Azul,A3,Comercial,Não se aplica,Não se aplica,Fora ponta,CATIVO,Energia TUSD (kWh)
145,Refaturamento - Regular,Azul,A3,Poder público,Não se aplica,Não se aplica,Fora ponta,CATIVO,Energia TUSD (kWh)
146,Refaturamento - Regular,Azul,A2,Rural,Agropecuária rural,Não se aplica,Fora ponta,CATIVO,Energia TUSD (kWh)
147,Refaturamento - Regular,Azul,A3,Rural,Aquicultura,Não se aplica,Fora ponta,CATIVO,Energia TUSD (kWh)
148,Refaturamento - Regular,Azul,A3,Rural,Aquicultura,IRRIG./AQUIC. PR,Fora ponta,CATIVO,Energia TUSD (kWh)
149,Refaturamento - Regular,Azul,A4,Rural,Cooperativa de eletrificação rural,Não se aplica,Fora ponta,CATIVO,Energia TUSD (kWh)
150,Refaturamento - Regular,Azul,A4,Rural,Aquicultura,IRRIG./AQUIC. PR,Fora ponta,CATIVO,Energia TUSD (kWh)
151,Refaturamento - Regular,Azul,A2,Rural,Agropecuária rural,IRRIG./AQUIC. PR,Fora ponta,CATIVO,Energia TUSD (kWh)
152,Refaturamento - Regular,Azul,A4,Comercial,Não se aplica,Não se aplica,Fora ponta,CATIVO,Receita Bandeiras (R$)
153,Refaturamento - Regular,Azul,A4,Serviço público,"Água, esgoto e saneamento",Não se aplica,Fora ponta,CATIVO,Receita Bandeiras (R$)
154,Refaturamento - Regular,Azul,A4,Industrial,Não se aplica,Não se aplica,Fora ponta,CATIVO,Receita Bandeiras (R$)
155,Refaturamento - Regular,Azul,A2,Industrial,Não se aplica,Não se aplica,Fora ponta,CATIVO,Receita Bandeiras (R$)
156,Refaturamento - Regular,Azul,A4,Poder público,Não se aplica,Não se aplica,Fora ponta,CATIVO,Receita Bandeiras (R$)
157,Refaturamento - Regular,Azul,A3,Serviço público,Tração elétrica,Não se aplica,Fora ponta,CATIVO,Receita Bandeiras (R$)
158,Refaturamento - Regular,Azul,A3,Rural,Agropecuária rural,Não se aplica,Fora ponta,CATIVO,Receita Bandeiras (R$)
159,Refaturamento - Regular,Azul,A3a,Comercial,Não se aplica,Não se aplica,Fora ponta,CATIVO,Receita Bandeiras (R$)
160,Refaturamento - Regular,Azul,A2,Comercial,Não se aplica,Não se aplica,Fora ponta,CATIVO,Receita Bandeiras (R$)
161,Refaturamento - Regular,Azul,A3,Industrial,Não se aplica,Não se aplica,Fora ponta,CATIVO,Receita Bandeiras (R$)
162,Refaturamento - Regular,Azul,A3a,Serviço público,"Água, esgoto e saneamento",Não se aplica,Fora ponta,CATIVO,Receita Bandeiras (R$)
163,Refaturamento - Regular,Azul,A2,Poder público,Não se aplica,Não se aplica,Fora ponta,CATIVO,Receita Bandeiras (R$)
164,Refaturamento - Regular,Azul,AS,Comercial,Não se aplica,Não se aplica,Fora ponta,CATIVO,Receita Bandeiras (R$)
165,Refaturamento - Regular,Azul,A4,Rural,Não se aplica,Não se aplica,Fora ponta,CATIVO,Receita Bandeiras (R$)
166,Refaturamento - Regular,Azul,A3,Serviço público,"Água, esgoto e saneamento",Não se aplica,Fora ponta,CATIVO,Receita Bandeiras (R$)
167,Refaturamento - Regular,Azul,A4,Residencial,Residencial,Não se aplica,Fora ponta,CATIVO,Receita Bandeiras (R$)
168,Refaturamento - Regular,Azul,A3a,Rural,Agropecuária rural,Não se aplica,Fora ponta,CATIVO,Receita Bandeiras (R$)
169,Refaturamento - Regular,Azul,A3a,Industrial,Não se aplica,Não se aplica,Fora ponta,CATIVO,Receita Bandeiras (R$)
170,Refaturamento - Regular,Azul,A2,Serviço público,"Água, esgoto e saneamento",Não se aplica,Fora ponta,CATIVO,Receita Bandeiras (R$)
171,Refaturamento - Regular,Azul,A4,Rural,Agropecuária rural,Não se aplica,Fora ponta,CATIVO,Receita Bandeiras (R$)
172,Refaturamento - Regular,Azul,A2,Rural,Agropecuária rural,Não se aplica,Fora ponta,CATIVO,Receita Bandeiras (R$)
173,Refaturamento - Regular,Azul,A2,Serviço público,Tração elétrica,Não se aplica,Fora ponta,CATIVO,Receita Bandeiras (R$)
174,Refaturamento - Regular,Azul,A3,Comercial,Não se aplica,Não se aplica,Fora ponta,CATIVO,Receita Bandeiras (R$)
175,Refaturamento - Regular,Azul,A3,Rural,Aquicultura,Não se aplica,Fora ponta,CATIVO,Receita Bandeiras (R$)
176,Refaturamento - Regular,Azul,A4,Rural,Aquicultura,Não se aplica,Fora ponta,CATIVO,Receita Bandeiras (R$)
177,Refaturamento - Regular,Azul,A3a,Rural,Não se aplica,Não se aplica,Fora ponta,CATIVO,Receita Bandeiras (R$)
178,Refaturamento - Regular,Azul,AS,Poder público,Não se aplica,Não se aplica,Fora ponta,CATIVO,Receita Bandeiras (R$)
179,Refaturamento - Regular,Azul,A3,Poder público,Não se aplica,Não se aplica,Fora ponta,CATIVO,Receita Bandeiras (R$)
180,Refaturamento - Regular,Azul,A4,Poder público,Não se aplica,Não se aplica,Fora ponta,CATIVO,Receita Demanda (R$)
181,Refaturamento - Regular,Azul,A4,Industrial,Não se aplica,Não se aplica,Fora ponta,CATIVO,Receita Demanda (R$)
182,Refaturamento - Regular,Azul,A4,Comercial,Não se aplica,Não se aplica,Fora ponta,CATIVO,Receita Demanda (R$)
183,Refaturamento - Regular,Azul,A4,Industrial,Não se aplica,Não se aplica,Fora ponta,LIVRE,Receita Demanda (R$)
184,Refaturamento - Regular,Azul,A2,Poder público,Não se aplica,Não se aplica,Fora ponta,CATIVO,Receita Demanda (R$)
185,Refaturamento - Regular,Azul,A4,Industrial,Não se aplica,Fonte incentivada,Fora ponta,LIVRE,Receita Demanda (R$)
186,Refaturamento - Regular,Azul,A2,Serviço público,Tração elétrica,Não se aplica,Fora ponta,CATIVO,Receita Demanda (R$)
187,Refaturamento - Regular,Azul,A3a,Comercial,Não se aplica,Não se aplica,Fora ponta,CATIVO,Receita Demanda (R$)
188,Refaturamento - Regular,Azul,A4,Serviço público,"Água, esgoto e saneamento",Não se aplica,Fora ponta,CATIVO,Receita Demanda (R$)
189,Refaturamento - Regular,Azul,A4,Rural,Não se aplica,Não se aplica,Fora ponta,CATIVO,Receita Demanda (R$)
190,Refaturamento - Regular,Azul,AS,Comercial,Não se aplica,Não se aplica,Fora ponta,CATIVO,Receita Demanda (R$)
191,Refaturamento - Regular,Azul,A3,Rural,Agropecuária rural,Não se aplica,Fora ponta,CATIVO,Receita Demanda (R$)
192,Refaturamento - Regular,Azul,A3,Industrial,Não se aplica,Não se aplica,Fora ponta,LIVRE,Receita Demanda (R$)
193,Refaturamento - Regular,Azul,A3,Industrial,Não se aplica,Fonte incentivada,Fora ponta,LIVRE,Receita Demanda (R$)
194,Refaturamento - Regular,Azul,A2,Industrial,Não se aplica,Fonte incentivada,Fora ponta,LIVRE,Receita Demanda (R$)
195,Refaturamento - Regular,Azul,A3,Serviço público,Tração elétrica,Não se aplica,Fora ponta,CATIVO,Receita Demanda (R$)
196,Refaturamento - Regular,Azul,A3a,Industrial,Não se aplica,Fonte incentivada,Fora ponta,LIVRE,Receita Demanda (R$)
197,Refaturamento - Regular,Azul,A2,Industrial,Não se aplica,Não se aplica,Fora ponta,CATIVO,Receita Demanda (R$)
198,Refaturamento - Regular,Azul,A3,Serviço público,"Água, esgoto e saneamento",Não se aplica,Fora ponta,LIVRE,Receita Demanda (R$)
199,Refaturamento - Regular,Azul,A2,Comercial,Não se aplica,Não se aplica,Fora ponta,CATIVO,Receita Demanda (R$)
200,Refaturamento - Regular,Azul,A4,Rural,Agropecuária rural,Não se aplica,Fora ponta,CATIVO,Receita Demanda (R$)
201,Refaturamento - Regular,Azul,A3,Industrial,Não se aplica,Não se aplica,Fora ponta,CATIVO,Receita Demanda (R$)
202,Refaturamento - Regular,Azul,A4,Rural,Aquicultura,Não se aplica,Fora ponta,CATIVO,Receita Demanda (R$)
203,Refaturamento - Regular,Azul,A2,Industrial,Não se aplica,Não se aplica,Fora ponta,LIVRE,Receita Demanda (R$)
204,Refaturamento - Regular,Azul,A3a,Industrial,Não se aplica,Não se aplica,Fora ponta,CATIVO,Receita Demanda (R$)
205,Refaturamento - Regular,Azul,A3,Comercial,Não se aplica,Não se aplica,Fora ponta,CATIVO,Receita Demanda (R$)
206,Refaturamento - Regular,Azul,A3a,Serviço público,"Água, esgoto e saneamento",Não se aplica,Fora ponta,CATIVO,Receita Demanda (R$)
207,Refaturamento - Regular,Azul,AS,Poder público,Não se aplica,Não se aplica,Fora ponta,CATIVO,Receita Demanda (R$)
208,Refaturamento - Regular,Azul,A2,Serviço público,Tração elétrica,Não se aplica,Fora ponta,LIVRE,Receita Demanda (R$)
